cer,session
0.03288535670366596,t5.2019.12.11
0.03289067882551894,t5.2019.12.11
0.048101525549436364,t5.2019.12.11
0.05900268570354857,t5.2019.12.11
0.01962896083089445,t5.2019.12.18
0.054190837257043434,t5.2019.12.18
0.042059462647089936,t5.2019.12.18
0.032499083602491236,t5.2019.12.18
0.0479161753829104,t5.2019.12.20
0.04200295574561558,t5.2019.12.20
0.07426205614616087,t5.2019.12.20
0.061656456521002524,t5.2019.12.20
0.04655501277138115,t5.2020.01.06
0.12968090029081716,t5.2020.01.06
0.11163241285153813,t5.2020.01.06
0.08347793475660449,t5.2020.01.06
0.02652805648088982,t5.2020.01.08
0.06057882096690119,t5.2020.01.08
0.07313678674582881,t5.2020.01.08
0.05531209367482076,t5.2020.01.08
